"Subject"	"X1.a_Debrief"	"X1.b_Debrief"	"X1.c_Debrief"	"X1.d_Debrief"	"X1.e_Debrief"	"X2.a_Debrief"	"X2.b_Debrief"	"X2.c_Debrief"	"X2.d_Debrief"	"X2.e_Debrief"	"X2.f_Debrief"	"X2.g_Debrief"	"X2.h_Debrief"	"Game.play.affect.distraction.time_Debrief"	"Surprise_Debrief"	"Suspected_Debrief"	"Why._Debrief"	"Entrant_Debrief"	"Entrant_Distraction_Assignment"	"Entrant_Note_sheet"	"Entrant_Post-Questionnaire"	"Entrant_Writing_Task_Evaluation"	"Assignment_Distraction_Assignment"	"Date_Note_sheet"	"Time_Note_sheet"	"RA_Note_sheet"	"Station_Note_sheet"	"Condition_Note_sheet"	"Game.1_Note_sheet"	"Game.2_Note_sheet"	"Game.3_Note_sheet"	"Game.4_Note_sheet"	"Game.5_Note_sheet"	"Game.6_Note_sheet"	"Good.Session_Note_sheet"	"Notes_Note_sheet"	"irritated_Post-Questionnaire"	"happy_Post-Questionnaire"	"angered_Post-Questionnaire"	"helpful_Post-Questionnaire"	"pleased_Post-Questionnaire"	"annoyed_Post-Questionnaire"	"knew.others_Post-Questionnaire"	"knew.partner_Post-Questionnaire"	"easy.nav_Post-Questionnaire"	"excited_Post-Questionnaire"	"engaged_Post-Questionnaire"	"challenging_Post-Questionnaire"	"stressful_Post-Questionnaire"	"violence_Post-Questionnaire"	"diff.nav_Post-Questionnaire"	"reflexes_Post-Questionnaire"	"satisfying_Post-Questionnaire"	"effective_Post-Questionnaire"	"difficult_Post-Questionnaire"	"good.fight_Post-Questionnaire"	"hard.control_Post-Questionnaire"	"mental.effort_Post-Questionnaire"	"comfort.control_Post-Questionnaire"	"exhausting_Post-Questionnaire"	"aggressed_Post-Questionnaire"	"enjoyed_Post-Questionnaire"	"often.played_Post-Questionnaire"	"FPS.experience_Post-Questionnaire"	"FPS.skill_Post-Questionnaire"	"mkb.experience_Post-Questionnaire"	"vg.freq_Post-Questionnaire"	"vg.cumul_Post-Questionnaire"	"gender_Post-Questionnaire"	"age_Post-Questionnaire"	"race_Post-Questionnaire"	"year_Post-Questionnaire"	"GPA_Post-Questionnaire"	"A_Writing_Task_Evaluation"	"B_Writing_Task_Evaluation"	"C_Writing_Task_Evaluation"	"D_Writing_Task_Evaluation"	"E_Writing_Task_Evaluation"	"F_Writing_Task_Evaluation"	"L2d4d_"	"R2d4d_"	"L_ring_length_"	"L_ring_angle_"	"L_index_length_"	"L_index_angle_"	"R_index_length_"	"R_index_angle_"	"R_ring_length_"	"R_ring_angle_"	"nCoders_"	"julNotes_"	"racNotes_"	"tayNotes_"	"Violence"	"Difficulty"
"108"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"3"	"To see if we would give them more distraction time based on the negative feedback on my essay that I don’t believe is actually what my partner wrote "	"AM"	"CH"	"AM"	NA	"CH"	"5"	"41941"	"0.708333333333333"	"JC"	"4"	"4"	"2"	"303"	"8"	"1126"	"111"	"88"	"No"	"His essay was referring to himself and was very personal so he didn’t believe the feedback and thought the distraction assignment was suspicious"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8"	"6"	"7"	"10"	"8"	"7"	"0.91807321350285"	"0.939010616670431"	"912.4"	"84.715"	"837.65"	"76.36"	"831.4"	"75.8"	"885.4"	"87.485"	"1"	NA	NA	NA	"Nonviolent"	"Hard"
"109"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"2"	"To test your anger"	"AM"	"CH"	"AM"	NA	"CH"	"5"	"41941"	"0.75"	"JC"	"4"	"1"	"0"	"365"	"16"	"2333"	"0"	"0"	"Yes"	" "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6"	"5"	"5"	"6"	"5"	"5.5"	"0.972869526061016"	"0.969505664844146"	"888.3"	"85.515"	"864.2"	"88.94"	"860"	"89.535"	"887.05"	"89.35"	"1"	NA	NA	NA	"Violent"	"Easy"
"10a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4"	"6"	"6"	"8"	"2"	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5"	"5"	"7"	"7"	"8"	"6.5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"No"	"No"	"2"	"To measure aggression towards the other person"	"AM"	"CH"	"AM"	"AM"	"CH"	"5"	"41543"	"0.729166666666667"	"Melissa"	"4"	"3"	"0"	"401"	"14"	"1573"	"120"	"0"	"Yes"	NA	"5"	"3"	"4"	"2"	"4"	"5"	"No"	"No"	"6"	"5"	"5"	"1"	"2"	"1"	"2"	"2"	"6"	"5"	"4"	"3"	"5"	"3"	"6"	"3"	"1"	"5"	"2"	"6"	"5"	"3"	"5"	"5"	"M"	"19"	"5"	"2"	"2.9"	"4"	"-9"	"0"	"8"	"0"	"2"	"0.926873275313097"	"0.936794344201752"	"942.2"	"86.04"	"873.3"	"85.8"	"887.8"	"87.61"	"947.7"	"87.82"	"1"	NA	NA	NA	"Nonviolent"	"Easy"
"110"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Maybe"	"2"	"I don't know "	"AM"	"CH"	"AM"	NA	"CH"	"5"	"41942"	"0.635416666666667"	"Danielle"	"4"	"2"	"2"	"199"	"4"	"846"	"59"	"63"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5"	"7"	"5"	"8"	"7"	"7"	"0.910707269155206"	"0.906256196708308"	"1018"	"86.935"	"927.1"	"83.715"	"914.05"	"89.59"	"1008.6"	"87.385"	"1"	NA	NA	NA	"Violent"	"Hard"
"111"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"No"	"No"	"1"	"Means of judgement on other person's traits based on feedback/essay"	"AM"	"CH"	"AM"	NA	"CH"	"1"	"41942"	"0.635416666666667"	"JH"	"2"	"3"	"0"	"416"	"13"	"1468"	"146"	"0"	"Maybe"	"Says he wouldn’t be surprised to learn of fake essay exchange but he didn't suspect it at the time. Didn't really understand the distraction assignment as aggression."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7"	"6"	"7"	"8"	"8"	"6"	"0.973346660003332"	"0.974665846429171"	"900.45"	"84.01"	"876.45"	"87.515"	"871.4"	"87.435"	"894.05"	"84.93"	"1"	NA	NA	NA	"Nonviolent"	"Easy"
"112"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"Maybe"	"No"	"3"	"To see how long we would make them stick their hand in the water based on how mad we were at them for grading our essay"	"AM"	"CH"	"AM"	NA	"CH"	"6"	"41942"	"0.677083333333333"	"Danielle"	"4"	"4"	"6"	"301"	"7"	"1324"	"53"	"118"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6"	"5"	"5"	"7"	"8"	"6"	"0.979726361269595"	"1.00179957260151"	"902.65"	"80.435"	"884.35"	"69.995"	"890.7"	"80.895"	"889.1"	"84.84"	"1"	NA	NA	NA	"Nonviolent"	"Hard"
"113"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"Yes"	"2"	"To kind of \"get back\" at them if I didn't like their evaluation of my essay or reward them if I did like it. "	"AM"	"CH"	"AM"	NA	"CH"	"5"	"41942"	"0.677083333333333"	"JH"	"2"	"1"	"0"	"372"	"13"	"1581"	"59"	"0"	"Yes"	"I overheard 112 say \"fifty seconds\" during distraction assignment. Mentioned essay feedback on 3rd funnel. "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3"	"5"	"7"	"8"	"8"	"7"	"0.965952741240834"	"0.995331857083009"	"859.1"	"85.595"	"829.85"	"87.445"	"831.55"	"89.515"	"835.45"	"81.31"	"1"	NA	NA	NA	"Violent"	"Easy"
"114"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"4"	"To see how irritated the other person was at that time"	"AM"	"CH"	"AM"	NA	"CH"	"9"	"41942"	"0.71875"	"Danielle"	"4"	"2"	"5"	"252"	"3"	"918"	"64"	"101"	"Yes"	"Video game made him irritated"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9"	"7"	"8"	"9"	"7"	"7"	"0.944211253387174"	"0.959888108935452"	"941.05"	"88.055"	"888.55"	"82.82"	"909.35"	"83.78"	"947.35"	"87.55"	"1"	NA	NA	NA	"Violent"	"Hard"
"115"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"4"	"To see the effect of video games on aggression "	"AM"	"CH"	"AM"	NA	"CH"	"1"	"41942"	"0.71875"	"JH"	"2"	"3"	"0"	"426"	"14"	"1375"	"135"	"0"	"Yes"	"Long, passionate essay & evaluation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5"	"-7"	"0"	"-3"	"-7"	"-4"	"0.921073825503356"	"0.927832807227604"	"931.25"	"88.71"	"857.75"	"83.94"	"852.4"	"88.215"	"918.7"	"83.875"	"1"	NA	NA	NA	"Nonviolent"	"Easy"
"116"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"2"	"To gauge reaction to their critique after playinga violent video game"	"AM"	"CH"	"AM"	NA	"CH"	"5"	"41943"	"0.645833333333333"	"SC"	"2"	"4"	"2"	"306"	"7"	"1215"	"103"	"83"	"Yes"	"What studying?: video games/ violent effect  or violence/reaction/aggression; Anything weird?: none"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7"	"5"	"7"	"8"	"5"	"7"	"0.957800224466891"	"0.954715527676901"	"891"	"75.625"	"853.4"	"86.205"	"867.55"	"89.24"	"908.7"	"79.725"	"1"	NA	NA	NA	"Nonviolent"	"Hard"
"117"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"5"	"To get a reaction based on the report of my essay"	"AM"	"CH"	NA	NA	"CH"	"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4"	"-4"	"3"	"5"	"5"	"6"	"0.935886931585416"	"0.937984095838067"	"976.4"	"82.94"	"913.8"	"88.53"	"908.25"	"88.83"	"968.3"	"84.075"	"1"	NA	NA	NA	NA	NA
"118"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"2"	"To see if frustration caused more agressiveness in us "	"AM"	"CH"	"AM"	NA	"CH"	"3"	"41943"	"0.729166666666667"	"SC"	"2"	"2"	"2"	"214"	"6"	"1000"	"56"	"68"	"Maybe "	"What study?: Frustration on tasks; Weird/out of place?: partner's evaluation aggressive; didn't seem surprised at reveal. Thought insult was fishy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9"	"-5"	"0"	"8"	"0"	"2.4"	"1.0177692400048"	"1.01722017220172"	"832.9"	"81.025"	"847.7"	"88.75"	"868.35"	"86.795"	"853.65"	"80.115"	"1"	NA	NA	NA	"Violent"	"Hard"
"119"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"4"	"To see how much distracion you wanted the other person to endure based on the review of your essay"	"AM"	"CH"	"AM"	NA	"CH"	"5"	"41943"	"0.729166666666667"	"MN"	"4"	"3"	"0"	"453"	"16"	"1530"	"176"	"0"	"No"	"Did not know what we were studying; negative response seemed suspicious to him"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0"	"-2"	"0"	"4"	"0"	"0"	"0.964019851116625"	"0.93595406360424"	"886.6"	"84.855"	"854.7"	"87.75"	"847.6"	"85.13"	"905.6"	"86.275"	"1"	NA	NA	NA	"Nonviolent"	"Easy"
"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Yes "	"No"	"2"	"To measure how angry we are"	"AM"	"CH"	"AM"	"AM"	NA	"9"	"41543"	"0.729166666666667"	"SC"	"2"	"4"	"4"	"283"	"7"	"1220"	"65"	"91"	"Yes"	NA	"5"	"2"	"6"	"4"	"2"	"5"	"No"	"No"	"1"	"5"	"6"	"6"	"3"	"5"	"5"	"6"	"5"	"5"	"5"	"6"	"6"	"4"	"5"	"3"	"4"	"5"	"2"	"7"	"6"	"3"	"2"	"3"	"M"	"20"	"5"	"2"	"3.5"	NA	NA	NA	NA	NA	NA	"0.968520220588235"	"0.973732718894009"	"870.4"	"85.78"	"843"	"89.73"	"845.2"	"88.78"	"868"	"83.85"	"1"	NA	NA	NA	"Nonviolent"	"Hard"
