"Subject"	"1.a"	"1.b"	"1.c"	"1.d"	"1.e"	"2.a"	"2.b"	"2.c"	"2.d"	"2.e"	"2.f"	"2.g"	"2.h"	"Game.affect.distraction"	"Surprise"	"Suspected"	"Why "	"Entrant"	"Assignment"	"Entrant.1"	"Date"	"Time"	"RA"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"Good.Session"	"Entrant.2"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"knew.others"	"knew.partner"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"gender"	"age"	"race"	"year"	"GPA"	"Entrant.3"	"A"	"B"	"C"	"D"	"E"	"F"	"Entrant.4"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"nCoders"	"Violence"	"Difficulty"
"108"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"3"	"To see if we would give them more distraction time based on the negative feedback on my essay that I don’t believe is actually what my partner wrote "	"AM"	"5"	"CH"	"41941"	"0.70833333333333337"	"JC"	"4"	"4"	"2"	"303"	"8"	"1126"	"111"	"88"	"No"	"AM"	"1"	"4"	"1"	"1"	"1"	"1"	"No"	"No"	"6"	"5"	"7"	"2"	"2"	"3"	"1"	"4"	"5"	"5"	"1"	"5"	"1"	"5"	"6"	"1"	"2"	"6"	"2"	"4"	"3"	"4"	"1"	"1"	"M"	"18"	"3"	"1"	"3"	"CH"	"8"	"6"	"7"	"10"	"8"	"7"	"CH"	"0.91807321350285"	"0.939010616670431"	"912.4"	"84.715"	"837.65"	"76.36"	"831.4"	"75.8"	"885.4"	"87.485"	"2"	"Nonviolent"	"Hard"
"109"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"2"	"To test your anger"	"AM"	"5"	"CH"	"41941"	"0.75"	"JC"	"4"	"1"	"0"	"365"	"16"	"2333"	"0"	"0"	"Yes"	"AM"	"7"	"2"	"6"	"1"	"2"	"6"	"No"	"No"	"6"	"4"	"4"	"3"	"4"	"5"	"2"	"3"	"5"	"5"	"4"	"4"	"4"	"2"	"6"	"3"	"3"	"4"	"2"	"5"	"2"	"4"	"2"	"2"	"M"	"18"	"5"	"1"	"3.65"	"CH"	"6"	"5"	"5"	"6"	"5"	"5.5"	"CH"	"0.972869526061016"	"0.969505664844146"	"888.3"	"85.515"	"864.2"	"88.94"	"860"	"89.535"	"887.05"	"89.35"	"2"	"Violent"	"Easy"
"10a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4"	"6"	"6"	"8"	"2"	"4"	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5"	"5"	"7"	"7"	"8"	"6.5"	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"No"	"No"	"2"	"To measure aggression towards the other person"	"AM"	"5"	"CH"	"41543"	"0.72916666666666663"	"Melissa"	"4"	"3"	"0"	"401"	"14"	"1573"	"120"	"0"	"Yes"	"AM"	"5"	"3"	"4"	"2"	"4"	"5"	"No"	"No"	"6"	"5"	"5"	"1"	"2"	"1"	"2"	"2"	"6"	"5"	"4"	"3"	"5"	"3"	"6"	"3"	"1"	"5"	"2"	"6"	"5"	"3"	"5"	"5"	"M"	"19"	"5"	"2"	"2.9"	"AM"	"4"	"-9"	"0"	"8"	"0"	"2"	"CH"	"0.926873275313097"	"0.936794344201752"	"942.2"	"86.04"	"873.3"	"85.8"	"887.8"	"87.61"	"947.7"	"87.82"	"1"	"Nonviolent"	"Easy"
"110"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Maybe"	"2"	"I don't know "	"AM"	"5"	"CH"	"41942"	"0.63541666666666663"	"Danielle"	"4"	"2"	"2"	"199"	"4"	"846"	"59"	"63"	"Yes"	"AM"	"2"	"2"	"4"	"2"	"4"	"4"	"No"	"No"	"5"	"5"	"5"	"3"	"3"	"3"	"2"	"5"	"5"	"5"	"3"	"3"	"5"	"3"	"5"	"2"	"5"	"5"	"5"	"6"	"6"	"5"	"5"	"7"	"M"	"20"	"2"	"2"	"2.7"	"CH"	"5"	"7"	"5"	"8"	"7"	"7"	"CH"	"0.910707269155206"	"0.906256196708308"	"1018"	"86.935"	"927.1"	"83.715"	"914.05"	"89.59"	"1008.6"	"87.385"	"2"	"Violent"	"Hard"
"111"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"No"	"No"	"1"	"Means of judgement on other person's traits based on feedback/essay"	"AM"	"1"	"CH"	"41942"	"0.63541666666666663"	"JH"	"2"	"3"	"0"	"416"	"13"	"1468"	"146"	"0"	"Maybe"	"AM"	"4"	"1"	"1"	"1"	"1"	"7"	"No"	"No"	"7"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"4"	"5"	"5"	"5"	"2"	"1"	"7"	"2"	"1"	"1"	"1"	"7"	"6"	"3"	"4"	"5"	"M"	"18"	"5"	"1"	"3.65"	"CH"	"7"	"6"	"7"	"8"	"8"	"6"	"CH"	"0.973346660003332"	"0.974665846429171"	"900.45"	"84.01"	"876.45"	"87.515"	"871.4"	"87.435"	"894.05"	"84.93"	"2"	"Nonviolent"	"Easy"
"112"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"Maybe"	"No"	"3"	"To see how long we would make them stick their hand in the water based on how mad we were at them for grading our essay"	"AM"	"6"	"CH"	"41942"	"0.67708333333333337"	"Danielle"	"4"	"4"	"6"	"301"	"7"	"1324"	"53"	"118"	"Yes"	"AM"	"5"	"3"	"2"	"3"	"3"	"2"	"No"	"No"	"7"	"5"	"5"	"5"	"1"	"3"	"1"	"5"	"6"	"5"	"3"	"5"	"3"	"2"	"6"	"1"	"5"	"6"	"2"	"7"	"6"	"3"	"3"	"5"	"M"	"18"	"5"	"1"	"3.5"	"CH"	"6"	"5"	"5"	"7"	"8"	"6"	"CH"	"0.979726361269595"	"1.00179957260151"	"902.65"	"80.435"	"884.35"	"69.995"	"890.7"	"80.895"	"889.1"	"84.84"	"2"	"Nonviolent"	"Hard"
"113"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"Yes"	"2"	"To kind of \"get back\" at them if I didn't like their evaluation of my essay or reward them if I did like it. "	"AM"	"5"	"CH"	"41942"	"0.67708333333333337"	"JH"	"2"	"1"	"0"	"372"	"13"	"1581"	"59"	"0"	"Yes"	"AM"	"6"	"2"	"4"	"3"	"2"	"5"	"No"	"No"	"5"	"5"	"5"	"2"	"3"	"6"	"2"	"4"	"5"	"6"	"5"	"3"	"2"	"3"	"6"	"3"	"5"	"6"	"6"	"7"	"5"	"3"	"5"	"6"	"M"	"18"	"5"	"1"	"3.5"	"CH"	"3"	"5"	"7"	"8"	"8"	"7"	"CH"	"0.965952741240834"	"0.995331857083009"	"859.1"	"85.595"	"829.85"	"87.445"	"831.55"	"89.515"	"835.45"	"81.31"	"2"	"Violent"	"Easy"
"114"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"4"	"To see how irritated the other person was at that time"	"AM"	"9"	"CH"	"41942"	"0.71875"	"Danielle"	"4"	"2"	"5"	"252"	"3"	"918"	"64"	"101"	"Yes"	"AM"	"6"	"2"	"2"	"1"	"3"	"7"	"No"	"No"	"5"	"5"	"5"	"7"	"1"	"7"	"5"	"5"	"6"	"6"	"5"	"5"	"6"	"6"	"2"	"2"	"5"	"6"	"1"	"3"	"1"	"1"	"1"	"2"	"M"	"19"	"5"	"1"	"3.5"	"CH"	"9"	"7"	"8"	"9"	"7"	"7"	"CH"	"0.944211253387174"	"0.959888108935452"	"941.05"	"88.055"	"888.55"	"82.82"	"909.35"	"83.78"	"947.35"	"87.55"	"2"	"Violent"	"Hard"
"115"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"4"	"To see the effect of video games on aggression "	"AM"	"1"	"CH"	"41942"	"0.71875"	"JH"	"2"	"3"	"0"	"426"	"14"	"1375"	"135"	"0"	"Yes"	"AM"	"1"	"6"	"1"	"2"	"2"	"2"	"No"	"No"	"6"	"2"	"5"	"2"	"2"	"2"	"2"	"2"	"5"	"5"	"3"	"5"	"2"	"2"	"6"	"2"	"2"	"4"	"2"	"5"	"5"	"6"	"2"	"2"	"M"	"20"	"2"	"2"	"3"	"CH"	"5"	"-7"	"0"	"-3"	"-7"	"-4"	"CH"	"0.921073825503356"	"0.927832807227604"	"931.25"	"88.71"	"857.75"	"83.94"	"852.4"	"88.215"	"918.7"	"83.875"	"2"	"Nonviolent"	"Easy"
"116"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"2"	"To gauge reaction to their critique after playinga violent video game"	"AM"	"5"	"CH"	"41943"	"0.64583333333333337"	"SC"	"2"	"4"	"2"	"306"	"7"	"1215"	"103"	"83"	"Yes"	"AM"	"7"	"1"	"5"	"1"	"1"	"7"	"No"	"No"	"7"	"4"	"6"	"5"	"1"	"3"	"2"	"2"	"5"	"6"	"5"	"5"	"4"	"1"	"5"	"1"	"1"	"5"	"5"	"7"	"5"	"6"	"4"	"4"	"M"	"19"	"5"	"2"	"2.5"	"CH"	"7"	"5"	"7"	"8"	"5"	"7"	"CH"	"0.957800224466891"	"0.954715527676901"	"891"	"75.625"	"853.4"	"86.205"	"867.55"	"89.24"	"908.7"	"79.725"	"2"	"Nonviolent"	"Hard"
"117"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"5"	"To get a reaction based on the report of my essay"	"AM"	"2"	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6"	"2"	"5"	"3"	"3"	"5"	"No"	"No"	"7"	"5"	"6"	"3"	"2"	"7"	"2"	"5"	"7"	"7"	"3"	"5"	"2"	"6"	"6"	"2"	"3"	"5"	"5"	"6"	"5"	"3"	"4"	"4"	"M"	"18"	"5"	"1"	"3"	"CH"	"4"	"-4"	"3"	"5"	"5"	"6"	"CH"	"0.935886931585416"	"0.937984095838067"	"976.4"	"82.94"	"913.8"	"88.53"	"908.25"	"88.83"	"968.3"	"84.075"	"2"	NA	NA
"118"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"2"	"To see if frustration caused more agressiveness in us "	"AM"	"3"	"CH"	"41943"	"0.72916666666666663"	"SC"	"2"	"2"	"2"	"214"	"6"	"1000"	"56"	"68"	"Maybe"	"AM"	"4"	"1"	"2"	"1"	"1"	"5"	"No"	"No"	"6"	"4"	"5"	"2"	"1"	"5"	"1"	"5"	"5"	"4"	"2"	"2"	"2"	"6"	"7"	"2"	"2"	"5"	"3"	"5"	"3"	"2"	"6"	"7"	"M"	"18"	"2"	"1"	"3.1"	"CH"	"9"	"-5"	"0"	"8"	"0"	"2.4"	"CH"	"1.0177692400048"	"1.01722017220172"	"832.9"	"81.025"	"847.7"	"88.75"	"868.35"	"86.795"	"853.65"	"80.115"	"2"	"Violent"	"Hard"
"119"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"4"	"To see how much distracion you wanted the other person to endure based on the review of your essay"	"AM"	"5"	"CH"	"41943"	"0.72916666666666663"	"MN"	"4"	"3"	"0"	"453"	"16"	"1530"	"176"	"0"	"No"	"AM"	"4"	"4"	"4"	"1"	"1"	"6"	"No"	"No"	"7"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"5"	"1"	"1"	"1"	"1"	"7"	"1"	"1"	"1"	"1"	"6"	"6"	"6"	"5"	"5"	"M"	"18"	"5"	"1"	"3"	"CH"	"0"	"-2"	"0"	"4"	"0"	"0"	"CH"	"0.964019851116625"	"0.93595406360424"	"886.6"	"84.855"	"854.7"	"87.75"	"847.6"	"85.13"	"905.6"	"86.275"	"2"	"Nonviolent"	"Easy"
"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Yes"	"No"	"2"	"To measure how angry we are"	"AM"	"9"	"CH"	"41543"	"0.72916666666666663"	"SC"	"2"	"4"	"4"	"283"	"7"	"1220"	"65"	"91"	"Yes"	"AM"	"5"	"2"	"6"	"4"	"2"	"5"	"No"	"No"	"1"	"5"	"6"	"6"	"3"	"5"	"5"	"6"	"5"	"5"	"5"	"6"	"6"	"4"	"5"	"3"	"4"	"5"	"2"	"7"	"6"	"3"	"2"	"3"	"M"	"20"	"5"	"2"	"3.5"	"AM"	NA	NA	NA	NA	NA	NA	NA	"0.968520220588235"	"0.973732718894009"	"870.4"	"85.78"	"843"	"89.73"	"845.2"	"88.78"	"868"	"83.85"	"1"	"Nonviolent"	"Hard"
"120"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"Maybe"	"No"	"2"	"So there wouldn't be any influence from the observer"	"AM"	"9"	"CH"	"41943"	"0.77083333333333337"	"SC"	"2"	"4"	"6"	"280"	"4"	"925"	"117"	"126"	"Yes"	"AM"	"6"	"2"	"2"	"2"	"2"	"6"	"No"	"No"	"5"	"4"	"5"	"3"	"4"	"1"	"2"	"2"	"4"	"4"	"4"	"4"	"3"	"2"	"5"	"2"	"4"	"4"	"3"	"5"	"4"	"5"	"3"	"4"	"M"	"18"	"2"	"1"	"4"	"CH"	"5"	"5"	"6"	"4"	"2"	"6"	"CH"	"0.960957662950964"	"0.938172341133415"	"910.55"	"83.98"	"875"	"87.285"	"845.95"	"83.825"	"901.7"	"86.535"	"2"	"Nonviolent"	"Hard"
"121"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"No"	"Yes"	"1"	"Aggression towards another person "	"AM"	"6"	"CH"	"41943"	"0.77083333333333337"	"MN"	"4"	"1"	"0"	"479"	"16"	"683"	"193"	"0"	"Yes"	"AM"	"3"	"1"	"1"	"4"	"3"	"3"	"No"	"No"	"7"	"4"	"5"	"1"	"1"	"6"	"3"	"2"	"4"	"5"	"1"	"1"	"2"	"1"	"7"	"1"	"2"	"5"	"4"	"7"	"7"	"6"	"5"	"5"	"M"	"19"	"5"	"1"	"3.2"	"CH"	"9"	"6"	"8"	"9"	"4"	"7"	"CH"	"0.959837085643172"	"0.939233891143604"	"883.9"	"81.64"	"848.4"	"87.435"	"844.7"	"87.66"	"899.35"	"83.59"	"2"	"Violent"	"Easy"
"122"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"4"	"As a form of punishment depending on how the partner graded are essay"	"AM"	"4"	"CH"	"41945"	"0.5"	"Mallory "	"2"	"2"	"1"	"291"	"9"	"1172"	"58"	"61"	"Yes"	"AM"	"4"	"4"	"4"	"4"	"4"	"4"	"No"	"No"	"7"	"5"	"6"	"1"	"1"	"5"	"1"	"3"	"6"	"7"	"2"	"3"	"2"	"3"	"6"	"3"	"2"	"6"	"7"	"7"	"7"	"7"	"7"	"7"	"M"	"19"	"3"	"1"	"3"	"CH"	"7"	"2"	"5"	"8"	"-5"	"5"	"CH"	"0.917441620169457"	"0.902311819868612"	"967.8"	"82.29"	"887.9"	"86.255"	"899.65"	"83.3"	"997.05"	"84.945"	"2"	"Violent"	"Hard"
